recency,sales,zip_code,newbie,channel,segment,product_category,age,frequency,gender
5,224.23,Surburban,0,Social,Single,6,48,10,female
9,34.7,Surburban,1,Web,Married with children,3,40,1,male
6,114.72,Surburban,1,Brick&Mortar,Married,6,23,8,female
10,106.7,Surburban,0,Web,Married,1,23,3,male
2,460.09,Surburban,0,Brick&Mortar,Single,6,48,9,male
2,414.79,Surburban,0,Web,Married,5,51,3,male
8,93.77,Urban,1,Brick&Mortar,Single,4,41,6,female
3,274.78,Urban,0,Brick&Mortar,Single,1,30,9,female
6,109.9,Urban,0,Brick&Mortar,Single,2,27,7,female
5,509.58,Urban,1,Brick&Mortar,Single,5,55,1,both
8,29.99,Urban,1,Brick&Mortar,Married with children,2,36,5,female
4,837.47,Surburban,1,Social,Married,3,23,1,both
2,221.99,Urban,0,Social,Married,5,47,10,male
7,29.99,Urban,0,Web,Single,2,38,3,male
1,46.6,Urban,0,Web,Married with children,2,32,7,female
10,287.14,Rural,0,Web,Single,4,32,3,female
2,543.29,Urban,1,Social,Single,1,28,3,both
9,103.17,Urban,0,Web,Married,6,44,7,female
2,518.24,Surburban,1,Brick&Mortar,Married with children,5,45,3,female
6,128.46,Urban,1,Brick&Mortar,Married,2,23,8,male
10,57.26,Rural,0,Web,Married,5,54,10,female
2,270.33,Urban,0,Web,Single,5,45,8,female
8,58.4,Rural,0,Brick&Mortar,Married,3,40,7,male
10,29.99,Surburban,1,Web,Single,4,36,8,male
2,688.53,Urban,1,Social,Single,1,19,7,both
7,90.36,Surburban,0,Web,Single,5,47,5,female
3,927.4,Surburban,1,Web,Married with children,3,42,2,both
10,296.44,Urban,0,Brick&Mortar,Married,4,37,4,female
1,848.51,Urban,1,Social,Single,1,20,6,female
4,390.96,Rural,0,Brick&Mortar,Married,2,30,9,male
10,219.23,Rural,0,Web,Married,6,47,5,male
12,29.99,Urban,0,Web,Married with children,4,38,7,female
1,680.37,Surburban,1,Social,Married with children,6,55,6,male
7,82.01,Urban,1,Brick&Mortar,Married with children,6,31,2,male
11,29.99,Surburban,0,Brick&Mortar,Single,5,52,5,male
11,99.05,Urban,1,Brick&Mortar,Single,3,42,6,male
6,146.13,Urban,1,Brick&Mortar,Married,1,38,6,female
2,41.75,Urban,0,Brick&Mortar,Married,5,52,10,male
3,252.01,Urban,1,Brick&Mortar,Married,4,39,10,male
10,65.02,Urban,0,Web,Single,1,52,7,male
6,159.27,Urban,0,Web,Married with children,1,25,10,female
1,267.61,Urban,0,Brick&Mortar,Single,5,55,1,male
4,204.52,Surburban,0,Social,Married,1,29,4,male
3,108.11,Surburban,1,Web,Married with children,6,55,5,female
4,115.15,Urban,0,Web,Single,2,18,4,female
1,491.22,Rural,1,Web,Single,6,45,7,female
10,180.68,Rural,1,Web,Single,2,30,2,female
10,35.01,Urban,0,Brick&Mortar,Married,5,47,5,female
2,1247.42,Rural,1,Brick&Mortar,Married with children,4,39,3,female
9,29.99,Surburban,0,Brick&Mortar,Married,2,18,8,female
12,29.99,Rural,0,Brick&Mortar,Married,4,34,1,male
10,45.94,Surburban,1,Web,Married with children,4,35,5,male
10,64.65,Urban,0,Web,Married,5,49,2,male
7,29.99,Surburban,1,Brick&Mortar,Single,6,48,10,male
9,55.03,Surburban,0,Brick&Mortar,Single,4,36,5,male
11,131.79,Urban,0,Brick&Mortar,Single,3,34,9,female
10,51.8,Surburban,1,Brick&Mortar,Single,1,27,10,male
7,107.83,Urban,1,Web,Married with children,3,38,9,male
6,211.69,Urban,1,Social,Married with children,6,51,3,female
1,422.03,Surburban,0,Web,Single,6,46,9,female
4,359.43,Urban,0,Social,Single,4,40,4,male
2,436.15,Urban,0,Brick&Mortar,Married,2,20,6,male
1,695.85,Urban,1,Social,Married,4,47,1,female
2,453.2,Urban,0,Web,Single,3,45,6,female
9,289.45,Surburban,0,Web,Married,5,19,5,male
2,297.24,Urban,0,Brick&Mortar,Married with children,3,37,1,male
10,62.31,Surburban,0,Brick&Mortar,Married,4,34,8,female
5,700.96,Urban,1,Web,Single,2,39,5,both
1,71.61,Surburban,0,Web,Married,3,34,7,female
9,298.54,Urban,0,Brick&Mortar,Single,2,25,2,both
1,29.99,Urban,0,Web,Single,1,26,4,male
6,103.38,Urban,1,Web,Married,5,50,4,female
1,89.59,Surburban,1,Web,Married with children,4,34,7,female
7,36.59,Rural,0,Web,Single,6,54,8,female
4,925.23,Urban,1,Social,Single,4,37,7,both
4,347.48,Urban,1,Web,Married,5,53,10,male
2,56.11,Rural,1,Brick&Mortar,Single,4,36,4,female
7,260.26,Surburban,1,Brick&Mortar,Married with children,1,22,9,male
9,58.35,Surburban,0,Brick&Mortar,Married,3,37,4,female
3,370.97,Surburban,0,Social,Married,5,47,7,female
8,286.64,Surburban,1,Brick&Mortar,Married,6,37,3,male
1,29.99,Surburban,1,Web,Married with children,6,55,3,male
4,69.57,Surburban,1,Brick&Mortar,Married with children,3,29,3,male
2,57.28,Urban,1,Web,Married,5,28,3,male
9,81.23,Rural,1,Brick&Mortar,Married,5,52,6,female
10,542.46,Surburban,1,Web,Married,1,28,8,male
5,245.35,Surburban,0,Social,Married,4,32,7,female
3,498.59,Urban,0,Social,Single,4,25,7,female
11,52.43,Urban,0,Brick&Mortar,Married,3,34,5,female
6,580.47,Surburban,1,Web,Married,4,53,6,male
8,322.72,Rural,0,Web,Married with children,2,20,2,female
1,29.99,Urban,0,Brick&Mortar,Single,2,25,4,female
2,81.5,Surburban,1,Web,Married with children,1,20,8,male
5,446.88,Surburban,0,Brick&Mortar,Married with children,6,53,3,male
8,34.48,Urban,1,Brick&Mortar,Married with children,2,28,1,male
7,124.63,Surburban,0,Web,Married,6,33,9,female
11,327.11,Surburban,0,Brick&Mortar,Married with children,6,49,8,female
10,52.27,Surburban,1,Web,Married,1,23,8,female
10,29.99,Surburban,1,Brick&Mortar,Single,5,35,3,female
4,194.26,Rural,0,Brick&Mortar,Married,4,24,5,female
1,30.19,Surburban,0,Web,Single,6,46,6,female
2,693.13,Rural,1,Web,Single,1,20,3,male
9,49.77,Surburban,1,Web,Single,4,42,9,female
6,141.94,Urban,1,Brick&Mortar,Single,2,22,2,female
9,205.33,Urban,1,Brick&Mortar,Married,3,39,4,female
9,39.24,Urban,0,Brick&Mortar,Married,1,49,10,female
9,29.99,Urban,1,Brick&Mortar,Married with children,3,31,1,female
7,223.96,Surburban,0,Social,Married with children,1,37,6,male
3,43.74,Surburban,0,Web,Single,4,35,8,female
3,311.56,Urban,0,Social,Married,1,25,3,female
7,77.04,Rural,0,Web,Married,2,30,7,male
9,96.88,Urban,0,Brick&Mortar,Married with children,3,38,5,female
5,265.6,Surburban,0,Web,Single,5,43,2,female
10,108.08,Urban,1,Brick&Mortar,Married with children,3,42,5,female
1,493.07,Urban,0,Brick&Mortar,Single,1,27,6,female
10,206.21,Urban,0,Web,Single,4,38,6,female
2,231.66,Urban,1,Brick&Mortar,Single,1,21,10,both
3,73.08,Urban,1,Web,Married with children,6,51,4,male
6,606.77,Rural,1,Social,Married with children,5,30,7,both
9,29.99,Surburban,0,Brick&Mortar,Single,5,46,9,female
3,362,Urban,1,Web,Married,3,43,8,male
1,353.35,Surburban,0,Web,Married,5,29,9,female
1,349.47,Surburban,0,Brick&Mortar,Married,1,22,2,female
3,473.02,Surburban,0,Brick&Mortar,Single,2,25,7,both
2,93.98,Rural,1,Brick&Mortar,Married,5,25,7,male
4,29.99,Surburban,1,Brick&Mortar,Married,4,30,4,male
10,105.99,Urban,1,Web,Married with children,2,27,10,male
3,180.48,Urban,1,Brick&Mortar,Single,4,39,5,male
10,144.85,Urban,1,Web,Married with children,5,47,7,male
2,180.03,Urban,1,Web,Married,5,49,8,female
6,266.64,Urban,0,Brick&Mortar,Married with children,3,41,10,male
9,321.9,Rural,0,Web,Married,4,44,1,both
1,126.79,Urban,0,Brick&Mortar,Single,4,40,2,female
10,126.69,Urban,1,Web,Single,5,45,5,male
3,465.75,Surburban,1,Social,Married with children,1,19,8,female
3,29.99,Urban,1,Web,Married with children,5,48,4,male
2,53.67,Urban,0,Brick&Mortar,Married with children,6,47,8,male
6,99.24,Rural,0,Brick&Mortar,Married with children,6,38,4,female
9,309.06,Surburban,0,Social,Married,3,30,8,male
8,169.95,Urban,0,Brick&Mortar,Married with children,2,24,4,male
1,30.64,Rural,0,Web,Single,3,40,7,male
3,202.36,Urban,1,Web,Married with children,4,42,3,male
7,325.34,Rural,0,Web,Married with children,2,50,8,both
3,216.08,Urban,0,Brick&Mortar,Single,2,21,1,female
4,761.17,Urban,1,Web,Married with children,1,25,10,both
3,203.63,Rural,0,Social,Married with children,5,35,7,female
2,340.35,Surburban,0,Brick&Mortar,Married,4,31,1,female
1,506.71,Urban,1,Web,Married with children,4,51,1,female
7,319.03,Surburban,1,Brick&Mortar,Married with children,4,32,3,both
2,89.96,Surburban,1,Web,Single,5,55,3,female
1,123.39,Surburban,0,Web,Single,6,49,7,female
1,45.32,Surburban,0,Brick&Mortar,Married,3,40,8,female
5,997.8,Rural,1,Social,Single,3,39,5,both
9,65.3,Surburban,0,Brick&Mortar,Single,4,32,8,male
11,29.99,Surburban,0,Web,Single,6,34,10,male
1,1150.41,Urban,1,Web,Single,1,27,2,female
3,156.07,Surburban,0,Web,Single,1,19,3,female
7,176.75,Urban,0,Web,Married,4,39,1,female
6,320.35,Surburban,0,Brick&Mortar,Married,1,30,9,male
2,135.33,Surburban,1,Web,Married,3,41,5,female
1,619.25,Urban,1,Web,Single,1,20,3,male
2,136.94,Surburban,1,Brick&Mortar,Married with children,5,53,4,female
8,164.17,Rural,1,Web,Married with children,4,28,5,male
9,264.74,Urban,0,Brick&Mortar,Married with children,4,43,5,male
9,294.17,Urban,0,Social,Married with children,1,25,9,male
10,35.54,Rural,1,Web,Married with children,2,34,6,female
1,621.3,Rural,1,Web,Single,6,44,7,female
3,114.11,Surburban,1,Brick&Mortar,Married,1,52,5,male
3,29.99,Urban,0,Brick&Mortar,Married with children,6,54,2,female
9,45.39,Rural,0,Web,Single,4,28,9,female
1,1030.85,Rural,1,Brick&Mortar,Single,2,25,6,male
1,396.6,Surburban,1,Brick&Mortar,Married with children,1,28,5,female
10,138.84,Urban,0,Web,Single,1,23,8,male
5,29.99,Surburban,0,Brick&Mortar,Single,4,39,4,male
7,247.5,Urban,1,Web,Single,2,28,2,female
9,88.7,Urban,1,Brick&Mortar,Married,5,47,9,male
9,193.19,Rural,1,Web,Married,3,40,6,female
6,42.92,Surburban,0,Brick&Mortar,Married,3,55,3,male
1,526.83,Urban,1,Web,Single,5,49,8,female
8,35.39,Surburban,0,Brick&Mortar,Single,2,28,2,male
5,360.34,Surburban,0,Web,Married,5,47,1,female
5,254.83,Urban,0,Web,Married,2,19,10,male
1,113.84,Urban,1,Brick&Mortar,Married,5,44,2,male
4,127.57,Urban,0,Web,Married with children,5,55,10,female
10,170.15,Rural,0,Web,Married with children,2,46,8,male
3,46,Urban,0,Brick&Mortar,Married with children,4,35,6,female
12,184.48,Urban,1,Brick&Mortar,Married,6,52,2,male
4,33.18,Urban,0,Web,Single,1,25,10,male
4,391.1,Surburban,0,Brick&Mortar,Single,4,41,10,male
6,140.17,Urban,0,Brick&Mortar,Single,3,36,4,male
5,734.79,Surburban,1,Web,Married with children,3,43,7,female
3,590.57,Urban,1,Social,Married with children,4,31,7,female
2,67.77,Urban,1,Web,Married,4,29,4,male
10,434.98,Surburban,1,Social,Single,4,32,9,female
1,125.45,Urban,0,Web,Married,6,30,9,female
7,267.93,Surburban,0,Brick&Mortar,Married with children,3,32,1,male
3,479.97,Urban,0,Social,Single,1,25,2,male
10,154.36,Surburban,0,Brick&Mortar,Married with children,2,30,1,male
1,356.57,Surburban,0,Web,Single,5,51,3,female
1,537.6,Urban,1,Brick&Mortar,Married,5,29,8,male
1,1257.54,Urban,1,Social,Married,1,19,6,both
11,29.99,Surburban,1,Web,Married,3,41,5,male
8,342.11,Rural,0,Brick&Mortar,Single,4,34,1,female
2,798.28,Urban,1,Social,Single,6,52,8,male
5,141.07,Surburban,0,Brick&Mortar,Married with children,3,32,1,female
1,40.07,Urban,1,Web,Married,2,34,10,male
4,359.5,Rural,0,Web,Married,2,24,2,female
10,29.99,Surburban,0,Brick&Mortar,Single,1,28,6,male
1,156.54,Urban,1,Web,Married,4,31,10,male
4,318.75,Urban,0,Brick&Mortar,Married with children,1,19,2,female
6,328.32,Urban,1,Web,Single,4,36,1,male
9,435.2,Urban,0,Social,Married,3,32,4,female
1,325.37,Urban,0,Web,Single,2,32,4,female
7,60.95,Rural,0,Brick&Mortar,Married,1,31,9,male
7,74.56,Surburban,1,Brick&Mortar,Married with children,6,54,8,male
4,170.52,Urban,1,Web,Single,3,33,9,male
9,153.92,Surburban,0,Web,Married with children,5,49,1,male
10,269.28,Rural,0,Web,Married,3,39,4,female
4,29.99,Urban,0,Brick&Mortar,Married,5,47,6,male
12,205.35,Surburban,0,Brick&Mortar,Married with children,5,31,1,male
4,504.4,Surburban,1,Brick&Mortar,Married,6,52,7,female
10,173.67,Surburban,0,Brick&Mortar,Single,3,37,9,female
6,142.99,Urban,1,Web,Married with children,5,44,1,male
9,29.99,Urban,1,Brick&Mortar,Married,1,22,7,female
1,148.64,Surburban,1,Brick&Mortar,Married,6,52,4,male
11,392.35,Urban,0,Brick&Mortar,Married,1,29,10,male
2,272.14,Urban,0,Web,Married,5,45,9,male
2,467.73,Urban,0,Web,Single,1,18,6,female
2,1444.25,Surburban,1,Brick&Mortar,Married with children,2,18,8,female
7,108.46,Surburban,0,Web,Married,2,29,6,female
3,490.23,Urban,0,Web,Married with children,6,52,5,male
6,305.68,Urban,0,Web,Married,3,41,7,female
7,29.99,Rural,1,Brick&Mortar,Married,3,34,2,female
7,610.53,Urban,1,Web,Married with children,4,37,10,female
7,172.21,Surburban,1,Web,Married with children,4,23,4,female
1,108.77,Rural,0,Web,Married with children,3,42,4,female
3,61.33,Surburban,1,Brick&Mortar,Married,1,21,6,male
8,224.03,Surburban,0,Brick&Mortar,Married with children,6,46,10,male
5,370.28,Surburban,0,Brick&Mortar,Married with children,6,48,10,both
2,712.53,Surburban,1,Brick&Mortar,Married,3,40,5,male
9,633.16,Urban,1,Social,Married,3,38,10,both
12,45.44,Urban,0,Brick&Mortar,Married,6,51,1,female
1,113.8,Surburban,1,Web,Single,5,44,6,male
12,90.92,Urban,1,Web,Married with children,6,49,7,male
1,379.93,Urban,0,Brick&Mortar,Married with children,1,38,5,female
4,29.99,Urban,0,Brick&Mortar,Single,5,45,1,male
1,115.58,Surburban,0,Web,Married with children,5,46,5,female
9,315.49,Surburban,1,Brick&Mortar,Single,4,26,4,both
11,87.24,Surburban,0,Brick&Mortar,Married with children,6,19,6,male
11,264.57,Urban,0,Brick&Mortar,Married with children,6,28,7,male
7,275.07,Urban,0,Brick&Mortar,Married,6,48,4,male
5,29.99,Surburban,1,Brick&Mortar,Single,2,29,7,female
5,1158.65,Surburban,1,Social,Married,4,34,9,both
3,748.86,Urban,1,Web,Married with children,2,20,6,male
10,37.31,Surburban,0,Brick&Mortar,Married,6,21,3,female
11,278.19,Urban,0,Web,Married with children,2,23,8,both
6,288.84,Urban,1,Brick&Mortar,Married with children,5,46,7,female
9,90.05,Surburban,1,Brick&Mortar,Married,2,19,7,male
10,155.94,Urban,0,Brick&Mortar,Married,2,19,7,male
10,83.61,Rural,0,Web,Married,4,43,10,male
5,487.03,Urban,0,Brick&Mortar,Married,1,18,9,male
10,81.01,Urban,1,Web,Single,4,32,9,female
4,63.55,Urban,0,Brick&Mortar,Married with children,5,42,2,male
2,456.8,Urban,0,Web,Single,1,28,7,male
6,149.69,Surburban,0,Web,Married with children,1,26,2,male
2,65.56,Urban,1,Brick&Mortar,Single,3,40,8,female
6,103.91,Surburban,1,Web,Single,6,19,6,male
11,176.18,Surburban,1,Brick&Mortar,Married with children,4,33,1,female
6,208.76,Surburban,1,Brick&Mortar,Married with children,3,24,1,male
3,907.28,Surburban,1,Web,Single,1,45,2,female
1,32.8,Surburban,0,Web,Married,2,37,9,male
9,148.22,Surburban,0,Web,Married,5,22,5,female
10,76.74,Surburban,0,Web,Married,6,50,10,male
3,227.16,Urban,1,Web,Married,3,23,2,male
4,336.29,Surburban,0,Brick&Mortar,Single,4,27,6,female
7,29.99,Surburban,0,Brick&Mortar,Married,5,49,7,male
1,668.07,Urban,1,Social,Single,3,34,9,both
10,29.99,Surburban,0,Brick&Mortar,Married,1,24,5,female
5,228.44,Urban,0,Brick&Mortar,Married,5,47,9,male
6,387.99,Surburban,0,Web,Married with children,6,47,5,both
12,32.84,Surburban,0,Web,Single,4,40,7,male
7,80.06,Surburban,1,Web,Single,4,26,6,female
10,337.34,Surburban,0,Web,Married,1,30,10,female
5,29.99,Rural,0,Brick&Mortar,Married with children,4,36,3,female
7,64.76,Surburban,1,Web,Married with children,6,45,8,female
10,162.54,Rural,1,Web,Married with children,2,28,4,male
10,29.99,Surburban,1,Web,Single,1,47,2,male
10,143.61,Rural,1,Web,Married with children,6,55,3,male
4,195.25,Surburban,0,Web,Single,5,51,3,female
1,29.99,Surburban,0,Web,Married with children,5,48,6,male
8,575.62,Urban,1,Social,Married with children,6,44,2,both
2,252.69,Surburban,0,Brick&Mortar,Married with children,6,31,2,male
6,318.46,Urban,1,Web,Married with children,2,18,5,female
4,67.91,Surburban,0,Brick&Mortar,Married,5,46,5,female
1,294.86,Surburban,1,Web,Married,6,40,3,female
1,109.46,Urban,1,Web,Married with children,5,44,3,female
1,490.82,Surburban,1,Web,Married,6,45,5,male
1,276.23,Urban,0,Brick&Mortar,Married with children,1,51,9,both
4,32.16,Surburban,1,Brick&Mortar,Married with children,6,52,7,male
5,222.9,Surburban,1,Brick&Mortar,Single,5,55,7,both
1,170.31,Urban,0,Web,Single,6,46,1,female
10,30.68,Surburban,0,Web,Single,1,19,2,female
11,29.99,Surburban,0,Web,Married with children,2,25,5,female
2,171.1,Urban,0,Web,Married with children,6,47,9,female
10,29.99,Rural,0,Web,Married,3,36,7,male
2,472.28,Rural,0,Web,Married with children,5,44,3,both
3,235.69,Surburban,0,Web,Married with children,4,33,5,female
10,57.83,Surburban,1,Web,Married,3,41,5,male
2,272.66,Urban,0,Social,Married with children,2,22,4,female
8,78.46,Urban,1,Web,Married with children,1,28,8,female
11,128.9,Surburban,1,Web,Married with children,2,22,4,female
3,583.97,Surburban,1,Brick&Mortar,Married,1,20,1,both
8,270.71,Surburban,1,Web,Single,3,39,10,female
10,244.61,Urban,0,Social,Married,2,21,10,female
11,195.89,Urban,0,Brick&Mortar,Single,1,20,1,female
1,443.62,Urban,0,Web,Married with children,4,39,6,female
9,109.56,Surburban,1,Brick&Mortar,Married,4,49,1,male
10,68.98,Urban,1,Brick&Mortar,Single,6,54,3,male
2,1022.76,Surburban,1,Social,Single,5,49,6,male
11,587.74,Surburban,1,Web,Married,4,34,6,female
1,221.2,Urban,0,Brick&Mortar,Single,2,30,10,both
2,589.41,Urban,1,Brick&Mortar,Married with children,4,35,10,female
9,144.61,Urban,0,Brick&Mortar,Single,3,41,4,male
1,352.3,Urban,1,Web,Single,1,29,4,male
6,347.77,Urban,1,Brick&Mortar,Married with children,6,49,1,both
6,40.15,Surburban,1,Web,Married,2,22,7,female
10,80.4,Surburban,0,Brick&Mortar,Married with children,2,52,3,female
5,987.13,Urban,1,Social,Married,4,39,8,both
6,90.9,Rural,0,Brick&Mortar,Married with children,3,36,5,male
8,140.42,Rural,1,Brick&Mortar,Married with children,3,37,8,male
11,129.9,Urban,1,Brick&Mortar,Single,1,28,3,female
2,216.72,Surburban,0,Brick&Mortar,Married,4,37,3,male
1,125.43,Urban,1,Web,Married with children,5,54,2,male
9,127.62,Surburban,1,Brick&Mortar,Married,3,37,2,female
6,277.23,Rural,1,Brick&Mortar,Married,3,21,9,male
12,185.8,Urban,0,Web,Married with children,4,45,7,female
4,169.62,Rural,1,Web,Married with children,3,53,4,male
1,84.79,Urban,1,Brick&Mortar,Married,6,52,8,female
10,157.16,Surburban,0,Web,Single,5,50,10,female
9,78.6,Urban,0,Brick&Mortar,Married,3,31,9,female
